,Unnamed: 0,상품명,가격,상품번호,상품상태,브랜드,원산지,세부제품특징,사용부위,사용시간,제품형태,용량,용기형태,피부타입,주요제품특징,모델명,제조사,혜택조건,세트수량,반품안심케어 가입 안내,이벤트,제조일자,유효일자,기타,사은품,PA지수,자외선차단지수,성분,종류,세트구성,매수,구분,url
1877,0,더마픽스 퍼펙트 리얼 퍼포먼스 콜라겐 100 마스크 (8매),"208,000",4956606764,신상품,더마픽스,국산,"피부탄력, 밀착력, 피부결정돈, 영양공급",페이스용,,시트형,23ml(g),,모든피부용,"촉촉함(수분공급), 피부진정",퍼펙트 리얼 퍼포먼스 콜라겐 100 23g,코스맥스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100528095/products/4956606764
1878,0,닥터앤코 이지에프 리페어 로션 피부과화장품 미백 기미 잡티 주름 저자극,"28,000",2345831923,신상품,,국산(대전광역시 유성구),"부드러운 발림, 흡수력",페이스용,"낮, 밤",로션형,,,모든피부용,"촉촉함(수분공급), 저자극",닥터앤코 이지에프 리페어 로션 피부과화장품 미백 기미 잡티 주름 저자극,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100102634/products/2345831923
1879,0,이니스프리 화산송이 카밍 모공 클레이 마스크 100mL,"18,000",5563454632,신상품,이니스프리,한국,,,,,,,,"피부진정, 촉촉함(수분공급), 저자극",이니스프리 화산송이 카밍 모공 클레이 마스크 100mL,㈜코스비전,,,,"화산송이,필링클레이,각질,피지,블랙헤드,클레이",,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100550450/products/5563454632
1880,0,"[NEW] 코스알엑스 원스텝 그린 히어로 카밍 패드 70매_토너패드, 진정패드","17,500",3555764329,신상품,코스알엑스,국산,"각질케어, 피부진정, 피부결정돈","페이스용, 바디용","낮, 밤",시트형,,,"모든피부용, 민감성","촉촉함(수분공급), 저자극",원스텝 그린 히어로 카밍 패드 70매,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009871/products/3555764329
1881,0,[BQCELL] 비큐셀 새살필 알라딘필링 피부박피 약초필링 3회분,"174,000",3695324121,신상품,비큐셀,국산,"트러블케어, 피지케어","페이스용, 팔자주름",,로션형,2ml(g),,모든피부용,"촉촉함(수분공급), 저자극, 각질케어",비큐셀 새살필,상품별도표기,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100254044/products/3695324121
1882,0,셀퓨전씨 트리악 PH 컨디션 토너 200ml,"24,000",4712654926,신상품,셀퓨전씨,대한민국,"상쾌함, 피지케어, 각질케어",페이스용,"낮, 밤",액상형,200ml(g),,"모든피부용, 지복합, 지성","촉촉함(수분공급), 트러블케어, 저자극",[셀퓨전씨] 트리악 pH 컨디션 토너 200ml,㈜신세계인터코스코리아,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100507422/products/4712654926
1883,0,[스킨푸드][꿀광보습] 로열허니 프로폴리스 인리치 마스크 30ml,"3,000",7709429460,신상품,스킨푸드,대한민국,"밀착력, 쿨링감",,,,30ml(g),,,"촉촉함(수분공급), 피부진정, 트러블케어",72816,(주)아이피어리스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009464/products/7709429460
1884,0,파넬 애플 비니거 포어 패드 60매,"31,000",6473648276,신상품,파넬,국산,"트러블케어, 피지케어, 블랙헤드케어, 화이트헤드케어",,,시트형,,,모든피부용,"촉촉함(수분공급), 각질케어",,,,,,추석 연휴 배송 안내 - 공지사항에서 배송관련 일정 확인해주세요!,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/101490644/products/6473648276
1885,0,바버 바이탈라이징 앰플 듀오 (비타민 앰플 2mlx7병+수분 앰플 2mlx7병)+베스트 앰플 2mlx3병+바이탈라이징 크림15ml 증정,"110,000",6655149847,신상품,BABOR,독일산((주)이넬화장품),"저자극, 피부강화, 각질케어, 영양공급, 유수분밸런스조절",페이스용,"낮, 밤",액상형,14ml(g),원터치형,모든피부용,"촉촉함(수분공급), 흡수력",바버 앰플 컨센트레이트 멀티 비타민,Dr.BABOR GmbH&Co.KG,네이버단독,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000019604/products/6655149847
1886,0,맥 클렌즈 오프 오일 150ml,"48,000",5069620817,신상품,맥,일본산(엘씨에이한국(유)),"모공케어, 각질케어",페이스용,,오일형,150ml(g),,"모든피부용, 복합","저자극, 세정력",클렌즈 오프 오일 150ml,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100863724/products/5069620817
